Date,Player,Mode,Chapter,Type,Old,New
08/12/2018,L,Any% Split,Forsaken City,Speed,--,1:52.523
08/12/2018,L,Any% Split,Forsaken City,Deaths,--,3
08/12/2018,L,Any% Split,Old Site,Speed,--,3:09.193
08/12/2018,L,Any% Split,Old Site,Deaths,--,1
08/12/2018,L,Any% Split,Celestial Resort,Speed,--,8:48.734
08/12/2018,L,Any% Split,Celestial Resort,Deaths,--,14
08/12/2018,L,Any% Split,Golden Ridge,Speed,--,6:32.853
08/12/2018,L,Any% Split,Golden Ridge,Deaths,--,12
08/12/2018,L,Any% Split,Mirror Temple,Speed,--,9:59.998
08/12/2018,L,Any% Split,Mirror Temple,Deaths,--,12
08/12/2018,L,Any% Split,Reflection,Speed,--,17:01.615
08/12/2018,L,Any% Split,Reflection,Deaths,--,61
08/12/2018,L,Any% Split,The Summit,Speed,--,20:37.243
08/12/2018,L,Any% Split,The Summit,Deaths,--,47
08/12/2018,L,Full Run,Any%,Speed,--,1:08:51.765
08/12/2018,L,Full Run,Any%,Deaths,--,150
08/12/2018,L,Best Possible*,Any% Split,Speed,--,1:08:02.159
08/12/2018,L,Best Possible*,Any% Split,Deaths,--,150
01/31/2019,L,Any% Split,Forsaken City,Speed,1:52.523,1:51.112
01/31/2019,L,Any% Split,Forsaken City,Deaths,3,2
01/31/2019,L,Any% Split,Golden Ridge,Deaths,12,11
01/31/2019,L,Any% Split,Reflection,Speed,17:01.615,15:42.990
01/31/2019,L,Any% Split,Reflection,Deaths,61,53
01/31/2019,L,Any% Split,The Summit,Speed,20:37.243,20:30.511
01/31/2019,L,Best Possible*,Any% Split,Speed,1:08:02.159,1:06:35.391
01/31/2019,L,Best Possible*,Any% Split,Deaths,150,140
01/31/2019,L,Any% Split,Forsaken City,Speed,1:51.112,1:41.881
01/31/2019,L,Any% Split,Forsaken City,Deaths,2,1
01/31/2019,L,Any% Split,Old Site,Speed,3:09.193,3:05.997
01/31/2019,L,Any% Split,Reflection,Speed,15:42.990,13:16.263
01/31/2019,L,Any% Split,Reflection,Deaths,53,29
01/31/2019,L,Any% Split,The Summit,Speed,20:30.511,19:25.061
01/31/2019,L,Any% Split,The Summit,Deaths,47,39
01/31/2019,L,Full Run,Any%,Speed,1:08:51.765,1:06:59.327
01/31/2019,L,Full Run,Any%,Deaths,150,123
01/31/2019,L,Best Possible*,Any% Split,Speed,1:06:35.391,1:02:50.787
01/31/2019,L,Best Possible*,Any% Split,Deaths,140,107
01/03/2022,Melanie,A-Side,Forsaken City,Speed,7:34.614,1:53.339
01/03/2022,Melanie,A-Side,Forsaken City,Deaths,10,0
01/04/2022,L,Farewell,Moon Berry,Speed,1:11:35.093,55:59.846
01/04/2022,L,Farewell,Moon Berry,Deaths,354,239
01/04/2022,L,B-Side,Core,Speed,16:16.837,14:40.311
