Continental Explorer: Land of Harmonious Springs (III)	Light up the maps of the following areas in Fontaine: Morte Region and Erinnyes Forest.		5
Font of All Waters (III)	Unlock all Teleport Waypoints in the following areas in Fontaine: Morte Region and Erinnyes Forest.		5
Sanctuary Pilgrim: Land of Harmonious Springs (III)	Unlock all the Shrines of Depths in the following areas in Fontaine: Morte Region and Erinnyes Forest.		10
Tidal Guide (III)	Follow 3 Seelie to their Seelie Courts in the Morte Region and Erinnyes Forest.		5
Tidal Guide (III)	Follow 6 Seelie to their Seelie Courts in the Morte Region and Erinnyes Forest.		10
Tidal Guide (III)	Follow 9 Seelie to their Seelie Courts in the Morte Region and Erinnyes Forest.		20
Waveriding Treasure Hunter (III)	Open 40 treasure chests in the Morte Region and Erinnyes Forest.		5
Waveriding Treasure Hunter (III)	Open 80 treasure chests in the Morte Region and Erinnyes Forest.		10
Waveriding Treasure Hunter (III)	Open 160 treasure chests in the Morte Region and Erinnyes Forest.		20
Waveriding Adventurer (III)	Complete a total of 3 Open World Time Trial Challenges in the Morte Region and Erinnyes Forest.		5
Waveriding Adventurer (III)	Complete a total of 6 Open World Time Trial Challenges in the Morte Region and Erinnyes Forest.		10
Waveriding Adventurer (III)	Complete a total of 9 Open World Time Trial Challenges in the Morte Region and Erinnyes Forest.		20
Semnai Sans Shadow	Meet a mysterious fairy on Erinnyes.	Complete The Wild Fairy of Erinnyes	10
Narzissenkreuz Notes	What left its name behind? What lies spread all over the valley? What reflects itself in the mirror-water? What symbolizes the lonely, world-saving sacrifice?	Complete In the Wake of Narcissus	10
