0001	Bulbasaur	Bulbasaur
Overgrow		Chlorophyll
0002	Ivysaur	Ivysaur
Overgrow		Chlorophyll
0003	Venusaur	Venusaur
Overgrow		Chlorophyll
0003	Venusaur	Venusaur
Mega Venusaur	Thick Fat		
0004	Charmander	Charmander
Blaze		Solar Power
0005	Charmeleon	Charmeleon
Blaze		Solar Power
0006	Charizard	Charizard
Blaze		Solar Power
0006	Charizard	Charizard
Mega Charizard X	Tough Claws		
0006	Charizard	Charizard
Mega Charizard Y	Drought		
0007	Squirtle	Squirtle
Torrent		Rain Dish
0008	Wartortle	Wartortle
Torrent		Rain Dish
0009	Blastoise	Blastoise
Torrent		Rain Dish
0009	Blastoise	Blastoise
Mega Blastoise	Mega Launcher		
0010	Caterpie	Caterpie
Shield Dust		Run Away
0011	Metapod	Metapod
Shed Skin		
0012	Butterfree	Butterfree
Compound Eyes		Tinted Lens
0013	Weedle	Weedle
Shield Dust		Run Away
0014	Kakuna	Kakuna
Shed Skin		
0015	Beedrill	Beedrill
Swarm		Sniper
0015	Beedrill	Beedrill
Mega Beedrill	Adaptability		
0016	Pidgey	Pidgey
Keen Eye	Tangled FeetGen IV+	Big Pecks
0017	Pidgeotto	Pidgeotto
Keen Eye	Tangled FeetGen IV+	Big Pecks
0018	Pidgeot	Pidgeot
Keen Eye	Tangled FeetGen IV+	Big Pecks
0018	Pidgeot	Pidgeot
Mega Pidgeot	No Guard		
0019	Rattata	Rattata
Run Away	Guts	Hustle
0019	Rattata	Rattata
Alolan Rattata	Gluttony	Hustle	Thick Fat
0020	Raticate	Raticate
Run Away	Guts	Hustle
0020	Raticate	Raticate
Alolan Raticate	Gluttony	Hustle	Thick Fat
0021	Spearow	Spearow
Keen Eye		Sniper
0022	Fearow	Fearow
Keen Eye		Sniper
0023	Ekans	Ekans
Intimidate	Shed Skin	Unnerve
0024	Arbok	Arbok
Intimidate	Shed Skin	Unnerve
0172	Pichu	Pichu
Static		Lightning Rod
0025	Pikachu	Pikachu
Static		Lightning Rod
0026	Raichu	Raichu
Static		Lightning Rod
0026	Raichu	Raichu
Alolan Raichu	Surge Surfer		
0027	Sandshrew	Sandshrew
Sand Veil		Sand Rush
0027	Sandshrew	Sandshrew
Alolan Sandshrew	Snow Cloak		Slush Rush
0028	Sandslash	Sandslash
Sand Veil		Sand Rush
0028	Sandslash	Sandslash
Alolan Sandslash	Snow Cloak		Slush Rush
0029	Nidoran♀	Nidoran♀
Poison Point	RivalryGen IV+	Hustle
0030	Nidorina	Nidorina
Poison Point	RivalryGen IV+	Hustle
0031	Nidoqueen	Nidoqueen
Poison Point	RivalryGen IV+	Sheer Force
0032	Nidoran♂	Nidoran♂
Poison Point	RivalryGen IV+	Hustle
0033	Nidorino	Nidorino
Poison Point	RivalryGen IV+	Hustle
0034	Nidoking	Nidoking
Poison Point	RivalryGen IV+	Sheer Force
0173	Cleffa	Cleffa
Cute Charm	Magic GuardGen IV+	Friend Guard
0035	Clefairy	Clefairy
Cute Charm	Magic GuardGen IV+	Friend Guard
0036	Clefable	Clefable
Cute Charm	Magic GuardGen IV+	Unaware
0037	Vulpix	Vulpix
Flash Fire		Drought
0037	Vulpix	Vulpix
Alolan Vulpix	Snow Cloak		Snow Warning
0038	Ninetales	Ninetales
Flash Fire		Drought
0038	Ninetales	Ninetales
Alolan Ninetales	Snow Cloak		Snow Warning
0174	Igglybuff	Igglybuff
Cute Charm	CompetitiveGen VI+	Friend Guard
0039	Jigglypuff	Jigglypuff
Cute Charm	CompetitiveGen VI+	Friend Guard
0040	Wigglytuff	Wigglytuff
Cute Charm	CompetitiveGen VI+	Frisk
0041	Zubat	Zubat
Inner Focus		Infiltrator
0042	Golbat	Golbat
Inner Focus		Infiltrator
0169	Crobat	Crobat
Inner Focus		Infiltrator
0043	Oddish	Oddish
Chlorophyll		Run Away
0044	Gloom	Gloom
Chlorophyll		Stench
0045	Vileplume	Vileplume
Chlorophyll		Effect Spore
0182	Bellossom	Bellossom
Chlorophyll		Healer
0046	Paras	Paras
Effect Spore	Dry SkinGen IV+	Damp
0047	Parasect	Parasect
Effect Spore	Dry SkinGen IV+	Damp
0048	Venonat	Venonat
Compound Eyes	Tinted LensGen IV+	Run Away
0049	Venomoth	Venomoth
Shield Dust	Tinted LensGen IV+	Wonder Skin
0050	Diglett	Diglett
Sand Veil	Arena Trap	Sand Force
0050	Diglett	Diglett
Alolan Diglett	Sand Veil	Tangling Hair	Sand Force
0051	Dugtrio	Dugtrio
Sand Veil	Arena Trap	Sand Force
0051	Dugtrio	Dugtrio
Alolan Dugtrio	Sand Veil	Tangling Hair	Sand Force
0052	Meowth	Meowth
Pickup	TechnicianGen IV+	Unnerve
0052	Meowth	Meowth
Alolan Meowth	Pickup	Technician	Rattled
0052	Meowth	Meowth
Galarian Meowth	Pickup	Tough Claws	Unnerve
0053	Persian	Persian
Limber	TechnicianGen IV+	Unnerve
0053	Persian	Persian
Alolan Persian	Fur Coat	Technician	Rattled
0863	Perrserker	Perrserker
Battle Armor	Tough Claws	Steely Spirit
0054	Psyduck	Psyduck
Damp	Cloud Nine	Swift Swim
0055	Golduck	Golduck
Damp	Cloud Nine	Swift Swim
0056	Mankey	Mankey
Vital Spirit	Anger PointGen IV+	Defiant
0057	Primeape	Primeape
Vital Spirit	Anger PointGen IV+	Defiant
0979	Annihilape	Annihilape
Vital Spirit	Inner Focus	Defiant
0058	Growlithe	Growlithe
Intimidate	Flash Fire	Justified
0058	Growlithe	Growlithe*
Hisuian Growlithe	Intimidate	Flash Fire	Rock HeadGen IX+
0059	Arcanine	Arcanine
Intimidate	Flash Fire	Justified
0059	Arcanine	Arcanine*
Hisuian Arcanine	Intimidate	Flash Fire	Rock HeadGen IX+
0060	Poliwag	Poliwag
Water Absorb	Damp	Swift Swim
0061	Poliwhirl	Poliwhirl
Water Absorb	Damp	Swift Swim
0062	Poliwrath	Poliwrath
