0001	Bulbasaur	Bulbasaur	45*
0002	Ivysaur	Ivysaur	45
0003	Venusaur	Venusaur	45
0004	Charmander	Charmander	45
0005	Charmeleon	Charmeleon	45
0006	Charizard	Charizard	45
0007	Squirtle	Squirtle	45
0008	Wartortle	Wartortle	45
0009	Blastoise	Blastoise	45
0010	Caterpie	Caterpie	255
0011	Metapod	Metapod	120
0012	Butterfree	Butterfree	45*
0013	Weedle	Weedle	255
0014	Kakuna	Kakuna	120
0015	Beedrill	Beedrill	45*
0016	Pidgey	Pidgey	255
0017	Pidgeotto	Pidgeotto	120
0018	Pidgeot	Pidgeot	45
0019	Rattata	Rattata	255
0020	Raticate	Raticate	127*
0021	Spearow	Spearow	255
0022	Fearow	Fearow	90
0023	Ekans	Ekans	255
0024	Arbok	Arbok	90
0025	Pikachu	Pikachu	190*
0026	Raichu	Raichu	75
0027	Sandshrew	Sandshrew	255
0028	Sandslash	Sandslash	90
0029	Nidoran♀	Nidoran♀	235
0030	Nidorina	Nidorina	120
0031	Nidoqueen	Nidoqueen	45
0032	Nidoran♂	Nidoran♂	235
0033	Nidorino	Nidorino	120
0034	Nidoking	Nidoking	45
0035	Clefairy	Clefairy	150
0036	Clefable	Clefable	25
0037	Vulpix	Vulpix	190
0038	Ninetales	Ninetales	75
0039	Jigglypuff	Jigglypuff	170
0040	Wigglytuff	Wigglytuff	50
0041	Zubat	Zubat	255
0042	Golbat	Golbat	90
0043	Oddish	Oddish	255
0044	Gloom	Gloom	120
0045	Vileplume	Vileplume	45
0046	Paras	Paras	190
0047	Parasect	Parasect	75
0048	Venonat	Venonat	190
0049	Venomoth	Venomoth	75*
0050	Diglett	Diglett	255
0051	Dugtrio	Dugtrio	50*
0052	Meowth	Meowth	255
0053	Persian	Persian	90
0054	Psyduck	Psyduck	190
0055	Golduck	Golduck	75
0056	Mankey	Mankey	190
0057	Primeape	Primeape	75*
0058	Growlithe	Growlithe	190
0059	Arcanine	Arcanine	75
0060	Poliwag	Poliwag	255
0061	Poliwhirl	Poliwhirl	120
0062	Poliwrath	Poliwrath	45*
0063	Abra	Abra	200
0064	Kadabra	Kadabra	100*
0065	Alakazam	Alakazam	50
0066	Machop	Machop	180
0067	Machoke	Machoke	90
0068	Machamp	Machamp	45
0069	Bellsprout	Bellsprout	255
0070	Weepinbell	Weepinbell	120
0071	Victreebel	Victreebel	45
0072	Tentacool	Tentacool	190
0073	Tentacruel	Tentacruel	60
0074	Geodude	Geodude	255
0075	Graveler	Graveler	120
0076	Golem	Golem	45
0077	Ponyta	Ponyta	190
0078	Rapidash	Rapidash	60
0079	Slowpoke	Slowpoke	190
0080	Slowbro	Slowbro	75
0081	Magnemite	Magnemite	190
0082	Magneton	Magneton	60*
0083	Farfetch'd	Farfetch'd	45*
0084	Doduo	Doduo	190
0085	Dodrio	Dodrio	45*
0086	Seel	Seel	190
0087	Dewgong	Dewgong	75
0088	Grimer	Grimer	190
0089	Muk	Muk	75
0090	Shellder	Shellder	190
0091	Cloyster	Cloyster	60
0092	Gastly	Gastly	190
0093	Haunter	Haunter	90
0094	Gengar	Gengar	45
0095	Onix	Onix	45
0096	Drowzee	Drowzee	190
0097	Hypno	Hypno	75*
0098	Krabby	Krabby	225
0099	Kingler	Kingler	60
0100	Voltorb	Voltorb	190
0101	Electrode	Electrode	60
0102	Exeggcute	Exeggcute	90
0103	Exeggutor	Exeggutor	45*
0104	Cubone	Cubone	190
0105	Marowak	Marowak	75*
0106	Hitmonlee	Hitmonlee	45*
0107	Hitmonchan	Hitmonchan	45*
0108	Lickitung	Lickitung	45
0109	Koffing	Koffing	190
