Date,Player,Mode,Chapter,Type,Value
01/01/2022,L,A-Side,Forsaken City,Speed,0:01:27.499
01/01/2022,L,A-Side,Forsaken City,Deaths,0
01/01/2022,L,A-Side,Old Site,Speed,0:02:38.916
01/09/2022,L,A-Side,Old Site,Speed,0:02:31.589
01/10/2022,L,A-Side,Old Site,Speed,0:02:27.543
01/01/2022,L,A-Side,Old Site,Deaths,0
01/01/2022,L,A-Side,Celestial Resort,Speed,0:07:45.817
01/10/2022,L,A-Side,Celestial Resort,Speed,0:07:18.515
01/01/2022,L,A-Side,Celestial Resort,Deaths,0
01/01/2022,L,A-Side,Golden Ridge,Speed,0:05:04.130
01/10/2022,L,A-Side,Golden Ridge,Speed,0:05:02.209
01/11/2022,L,A-Side,Golden Ridge,Speed,0:04:55.426
01/11/2022,L,A-Side,Golden Ridge,Speed,0:04:53.998
01/12/2022,L,A-Side,Golden Ridge,Speed,0:04:44.138
01/01/2022,L,A-Side,Golden Ridge,Deaths,0
01/01/2022,L,A-Side,Mirror Temple,Speed,0:07:26.658
01/01/2022,L,A-Side,Mirror Temple,Deaths,0
01/01/2022,L,A-Side,Reflection,Speed,0:09:26.797
01/01/2022,L,A-Side,Reflection,Deaths,7
01/01/2022,L,A-Side,The Summit,Speed,0:14:31.403
01/01/2022,L,A-Side,The Summit,Deaths,7
01/01/2022,L,A-Side,Core,Speed,0:09:13.146
01/05/2022,L,A-Side,Core,Speed,0:08:43.685
01/05/2022,L,A-Side,Core,Speed,0:08:12.711
01/05/2022,L,A-Side,Core,Speed,0:08:08.478
01/09/2022,L,A-Side,Core,Speed,0:06:41.846
01/01/2022,L,A-Side,Core,Deaths,23
01/05/2022,L,A-Side,Core,Deaths,21
01/05/2022,L,A-Side,Core,Deaths,17
01/09/2022,L,A-Side,Core,Deaths,10
01/01/2022,L,B-Side,Forsaken City,Speed,0:03:07.867
01/01/2022,L,B-Side,Forsaken City,Deaths,0
01/01/2022,L,B-Side,Old Site,Speed,0:02:45.699
01/01/2022,L,B-Side,Old Site,Deaths,0
01/01/2022,L,B-Side,Celestial Resort,Speed,0:08:26.821
01/01/2022,L,B-Side,Celestial Resort,Deaths,38
01/01/2022,L,B-Side,Golden Ridge,Speed,0:09:50.563
01/01/2022,L,B-Side,Golden Ridge,Deaths,38
01/01/2022,L,B-Side,Mirror Temple,Speed,0:11:20.221
01/01/2022,L,B-Side,Mirror Temple,Deaths,47
01/01/2022,L,B-Side,Reflection,Speed,0:11:39.618
01/01/2022,L,B-Side,Reflection,Deaths,37
01/01/2022,L,B-Side,The Summit,Speed,0:14:37.846
01/01/2022,L,B-Side,The Summit,Deaths,44
01/01/2022,L,B-Side,Core,Speed,0:16:16.837
01/04/2022,L,B-Side,Core,Speed,0:14:40.311
01/01/2022,L,B-Side,Core,Deaths,74
01/04/2022,L,B-Side,Core,Deaths,73
01/01/2022,L,C-Side,Forsaken City,Speed,0:00:47.515
01/01/2022,L,C-Side,Forsaken City,Deaths,0
01/01/2022,L,C-Side,Old Site,Speed,0:00:40.868
01/01/2022,L,C-Side,Old Site,Deaths,0
01/01/2022,L,C-Side,Celestial Resort,Speed,0:00:45.543
01/01/2022,L,C-Side,Celestial Resort,Deaths,0
01/01/2022,L,C-Side,Golden Ridge,Speed,0:00:37.961
01/01/2022,L,C-Side,Golden Ridge,Deaths,0
01/01/2022,L,C-Side,Mirror Temple,Speed,0:00:34.221
01/01/2022,L,C-Side,Mirror Temple,Deaths,0
01/01/2022,L,C-Side,Reflection,Speed,0:00:57.868
01/01/2022,L,C-Side,Reflection,Deaths,0
01/01/2022,L,C-Side,The Summit,Speed,0:01:13.389
01/01/2022,L,C-Side,The Summit,Deaths,0
01/01/2022,L,C-Side,Core,Speed,0:02:49.252
01/01/2022,L,C-Side,Core,Deaths,0
01/01/2022,L,Full Clear,Forsaken City,Speed,0:06:02.168
01/01/2022,L,Full Clear,Forsaken City,Deaths,6
01/01/2022,L,Full Clear,Old Site,Speed,0:07:23.768
01/01/2022,L,Full Clear,Old Site,Deaths,7
01/01/2022,L,Full Clear,Celestial Resort,Speed,0:15:28.064
01/01/2022,L,Full Clear,Celestial Resort,Deaths,35
01/01/2022,L,Full Clear,Golden Ridge,Speed,0:16:10.666
01/01/2022,L,Full Clear,Golden Ridge,Deaths,35
01/01/2022,L,Full Clear,Mirror Temple,Speed,0:24:15.013
01/01/2022,L,Full Clear,Mirror Temple,Deaths,32
01/01/2022,L,Full Clear,Reflection,Speed,0:11:55.513
01/01/2022,L,Full Clear,Reflection,Deaths,16
01/01/2022,L,Full Clear,The Summit,Speed,0:34:01.428
01/01/2022,L,Full Clear,The Summit,Deaths,92
01/01/2022,L,Full Clear,Core,Speed,0:15:11.572
01/01/2022,L,Full Clear,Core,Deaths,54
01/01/2022,L,Any% Split,Forsaken City,Speed,0:01:30.848
01/01/2022,L,Any% Split,Forsaken City,Deaths,0
01/01/2022,L,Any% Split,Old Site,Speed,0:02:44.628
01/01/2022,L,Any% Split,Old Site,Deaths,2
01/01/2022,L,Any% Split,Celestial Resort,Speed,0:07:57.904
01/01/2022,L,Any% Split,Celestial Resort,Deaths,11
01/01/2022,L,Any% Split,Golden Ridge,Speed,0:04:46.977
01/01/2022,L,Any% Split,Golden Ridge,Deaths,2
01/01/2022,L,Any% Split,Mirror Temple,Speed,0:07:29.208
01/01/2022,L,Any% Split,Mirror Temple,Deaths,1
01/01/2022,L,Any% Split,Reflection,Speed,0:09:54.065
01/01/2022,L,Any% Split,Reflection,Deaths,16
01/01/2022,L,Any% Split,The Summit,Speed,0:14:56.053
01/01/2022,L,Any% Split,The Summit,Deaths,18
01/01/2022,L,Farewell,Clear,Speed,0:44:56.234
01/01/2022,L,Farewell,Clear,Deaths,170
01/01/2022,L,Farewell,Moon Berry,Speed,1:11:35.093
01/04/2022,L,Farewell,Moon Berry,Speed,0:55:59.846
01/01/2022,L,Farewell,Moon Berry,Deaths,354
01/04/2022,L,Farewell,Moon Berry,Deaths,239
01/01/2022,L,Full Run,Any%,Speed,0:51:08.653
01/01/2022,L,Full Run,Any%,Deaths,45
01/01/2022,L,Full Run,100%-,Speed,4:26:05.822
01/01/2022,L,Full Run,100%-,Deaths,857
01/01/2022,L,Full Run,100%,Speed,5:51:56.125
01/01/2022,L,Full Run,100%,Deaths,1211
01/01/2022,L,Best Possible*,Any% Split,Speed,--
01/15/2022,L,Best Possible*,Any% Split,Speed,0:51:31.025
01/01/2022,L,Best Possible*,Any% Split,Deaths,--
01/15/2022,L,Best Possible*,Any% Split,Deaths,72
01/01/2022,L,Best Possible*,Any%,Speed,0:47:22.553
01/01/2022,L,Best Possible*,Any%,Deaths,--
01/15/2022,L,Best Possible*,Any%,Deaths,14
01/01/2022,L,Best Possible*,100%-,Speed,--
01/15/2022,L,Best Possible*,100%-,Speed,3:35:23.755
01/01/2022,L,Best Possible*,100%-,Deaths,--
01/15/2022,L,Best Possible*,100%-,Deaths,554
01/01/2022,L,Best Possible*,100%,Speed,--
01/15/2022,L,Best Possible*,100%,Speed,4:31:23.601
01/01/2022,L,Best Possible*,100%,Deaths,--
01/15/2022,L,Best Possible*,100%,Deaths,793
01/01/2022,Marcos,A-Side,Forsaken City,Speed,0:01:25.442
01/06/2022,Marcos,A-Side,Forsaken City,Speed,0:01:21.294
01/06/2022,Marcos,A-Side,Forsaken City,Speed,0:01:18.710
01/08/2022,Marcos,A-Side,Forsaken City,Speed,0:01:17.520
01/01/2022,Marcos,A-Side,Forsaken City,Deaths,0
01/01/2022,Marcos,A-Side,Old Site,Speed,0:02:28.223
01/06/2022,Marcos,A-Side,Old Site,Speed,0:02:25.214
01/06/2022,Marcos,A-Side,Old Site,Speed,0:02:24.109
01/06/2022,Marcos,A-Side,Old Site,Speed,0:02:19.672
01/01/2022,Marcos,A-Side,Old Site,Deaths,0
01/01/2022,Marcos,A-Side,Celestial Resort,Speed,0:07:41.618
01/12/2022,Marcos,A-Side,Celestial Resort,Speed,0:07:37.300
